kernel,degree,C,gamma,coef0,epsilon,MSE,MAE,R^2-Score,PCC
poly,3,10,0.1,4,0.5,30.166,3.435,-0.971,0.534
poly,3,10,0.1,4,0.8,23.504,3.176,-0.25,0.546
poly,3,10,0.01,1,0.01,9.216,2.368,0.45,0.752
poly,3,10,0.01,1,0.1,9.331,2.395,0.447,0.747
poly,3,10,0.01,1,0.5,8.723,2.327,0.507,0.758
poly,3,10,0.01,1,0.8,8.849,2.361,0.5,0.75
poly,3,10,0.01,2,0.01,10.302,2.488,0.382,0.728
poly,3,10,0.01,2,0.1,9.637,2.431,0.425,0.742
poly,3,10,0.01,2,0.5,8.837,2.332,0.493,0.751
poly,3,10,0.01,2,0.8,9.079,2.393,0.49,0.75
poly,3,10,0.01,3,0.01,10.825,2.538,0.357,0.708
poly,3,10,0.01,3,0.1,9.963,2.469,0.409,0.735
poly,3,10,0.01,3,0.5,9.128,2.38,0.472,0.746
poly,3,10,0.01,3,0.8,9.506,2.434,0.466,0.742
poly,3,10,0.01,4,0.01,11.06,2.567,0.351,0.699
poly,3,10,0.01,4,0.1,10.111,2.496,0.402,0.731
poly,3,10,0.01,4,0.5,9.308,2.403,0.461,0.742
poly,3,10,0.01,4,0.8,9.905,2.465,0.443,0.737
poly,3,10,0.001,1,0.01,9.234,2.394,0.482,0.744
poly,3,10,0.001,1,0.1,9.222,2.4,0.483,0.747
poly,3,10,0.001,1,0.5,9.367,2.413,0.497,0.748
poly,3,10,0.001,1,0.8,9.284,2.403,0.499,0.75
poly,3,10,0.001,2,0.01,9.801,2.457,0.44,0.731
poly,3,10,0.001,2,0.1,9.257,2.405,0.471,0.743
poly,3,10,0.001,2,0.5,9.307,2.404,0.49,0.745
poly,3,10,0.001,2,0.8,9.263,2.356,0.492,0.747
poly,3,10,0.001,3,0.01,9.827,2.464,0.435,0.73
poly,3,10,0.001,3,0.1,9.336,2.414,0.463,0.741
poly,3,10,0.001,3,0.5,9.323,2.401,0.489,0.746
poly,3,10,0.001,3,0.8,9.283,2.35,0.487,0.746
poly,3,10,0.001,4,0.01,9.778,2.46,0.436,0.732
poly,3,10,0.001,4,0.1,9.315,2.412,0.464,0.743
poly,3,10,0.001,4,0.5,9.382,2.405,0.484,0.745
poly,3,10,0.001,4,0.8,9.349,2.352,0.482,0.744
poly,3,15,0.1,1,0.01,242.972,5.177,-17.94,0.439
poly,3,15,0.1,1,0.1,202.915,5.046,-14.63,0.466
poly,3,15,0.1,1,0.5,35.573,3.564,-1.339,0.528
poly,3,15,0.1,1,0.8,18.645,3.002,-0.027,0.582
poly,3,15,0.1,2,0.01,234.9,5.178,-17.295,0.446
poly,3,15,0.1,2,0.1,191.465,5.008,-13.696,0.479
poly,3,15,0.1,2,0.5,38.825,3.679,-1.592,0.514
poly,3,15,0.1,2,0.8,20.641,3.066,-0.114,0.567
poly,3,15,0.1,3,0.01,231.941,5.169,-17.05,0.446
poly,3,15,0.1,3,0.1,184.674,4.984,-13.135,0.481
poly,3,15,0.1,3,0.5,40.161,3.738,-1.681,0.507
poly,3,15,0.1,3,0.8,22.192,3.127,-0.187,0.557
poly,3,15,0.1,4,0.01,229.895,5.169,-16.876,0.445
poly,3,15,0.1,4,0.1,180.983,4.974,-12.828,0.483
poly,3,15,0.1,4,0.5,40.852,3.767,-1.729,0.505
poly,3,15,0.1,4,0.8,23.504,3.176,-0.25,0.546
poly,3,15,0.01,1,0.01,9.942,2.439,0.4,0.738
poly,3,15,0.01,1,0.1,9.584,2.415,0.425,0.742
poly,3,15,0.01,1,0.5,8.814,2.327,0.499,0.754
poly,3,15,0.01,1,0.8,8.861,2.364,0.501,0.753
poly,3,15,0.01,2,0.01,10.942,2.542,0.349,0.705
poly,3,15,0.01,2,0.1,10.041,2.472,0.403,0.733
poly,3,15,0.01,2,0.5,9.176,2.383,0.469,0.744
poly,3,15,0.01,2,0.8,9.468,2.432,0.468,0.743
poly,3,15,0.01,3,0.01,11.069,2.574,0.352,0.699
poly,3,15,0.01,3,0.1,10.128,2.505,0.401,0.729
poly,3,15,0.01,3,0.5,9.371,2.402,0.458,0.742
poly,3,15,0.01,3,0.8,10.065,2.48,0.434,0.734
poly,3,15,0.01,4,0.01,10.971,2.574,0.363,0.699
poly,3,15,0.01,4,0.1,10.093,2.516,0.404,0.73
poly,3,15,0.01,4,0.5,9.686,2.415,0.441,0.737
poly,3,15,0.01,4,0.8,10.49,2.511,0.413,0.728
poly,3,15,0.001,1,0.01,9.393,2.413,0.47,0.74
poly,3,15,0.001,1,0.1,9.23,2.399,0.478,0.746
poly,3,15,0.001,1,0.5,9.423,2.413,0.49,0.745
poly,3,15,0.001,1,0.8,9.172,2.375,0.5,0.751
poly,3,15,0.001,2,0.01,9.8,2.46,0.437,0.732
poly,3,15,0.001,2,0.1,9.332,2.413,0.464,0.741
poly,3,15,0.001,2,0.5,9.334,2.402,0.489,0.746
poly,3,15,0.001,2,0.8,9.311,2.359,0.488,0.746
poly,3,15,0.001,3,0.01,9.724,2.456,0.439,0.734
poly,3,15,0.001,3,0.1,9.292,2.408,0.465,0.743
poly,3,15,0.001,3,0.5,9.396,2.407,0.483,0.745
poly,3,15,0.001,3,0.8,9.327,2.352,0.484,0.745
poly,3,15,0.001,4,0.01,9.722,2.452,0.437,0.734
poly,3,15,0.001,4,0.1,9.262,2.403,0.465,0.744
poly,3,15,0.001,4,0.5,9.425,2.41,0.479,0.745
poly,3,15,0.001,4,0.8,9.405,2.359,0.477,0.742
