kernel,degree,C,gamma,coef0,epsilon,MSE,MAE,R^2-Score,PCC
poly,2,15,0.01,1,0.1,8.425,2.291,0.565,0.758
poly,2,15,0.01,1,0.5,8.39,2.337,0.567,0.76
poly,2,15,0.01,1,0.8,8.863,2.372,0.544,0.744
poly,2,15,0.01,2,0.01,8.431,2.274,0.563,0.759
poly,2,15,0.01,2,0.1,8.447,2.292,0.563,0.758
poly,2,15,0.01,2,0.5,8.378,2.336,0.568,0.76
poly,2,15,0.01,2,0.8,8.936,2.379,0.54,0.742
poly,2,15,0.01,3,0.01,8.432,2.273,0.563,0.759
poly,2,15,0.01,3,0.1,8.458,2.292,0.563,0.757
poly,2,15,0.01,3,0.5,8.374,2.336,0.568,0.76
poly,2,15,0.01,3,0.8,9.045,2.387,0.535,0.739
poly,2,15,0.01,4,0.01,8.433,2.273,0.563,0.759
poly,2,15,0.01,4,0.1,8.463,2.292,0.563,0.757
poly,2,15,0.01,4,0.5,8.373,2.336,0.568,0.76
poly,2,15,0.01,4,0.8,9.095,2.391,0.532,0.737
poly,2,15,0.001,1,0.01,9.294,2.399,0.523,0.737
poly,2,15,0.001,1,0.1,9.187,2.4,0.531,0.743
poly,2,15,0.001,1,0.5,9.339,2.407,0.527,0.746
poly,2,15,0.001,1,0.8,9.046,2.396,0.543,0.75
poly,2,15,0.001,2,0.01,9.318,2.402,0.519,0.733
poly,2,15,0.001,2,0.1,9.082,2.387,0.533,0.741
poly,2,15,0.001,2,0.5,9.427,2.409,0.521,0.74
poly,2,15,0.001,2,0.8,8.758,2.344,0.554,0.752
poly,2,15,0.001,3,0.01,9.355,2.404,0.517,0.732
poly,2,15,0.001,3,0.1,9.144,2.391,0.529,0.74
poly,2,15,0.001,3,0.5,9.447,2.41,0.52,0.739
poly,2,15,0.001,3,0.8,8.795,2.349,0.551,0.75
poly,2,15,0.001,4,0.01,9.357,2.402,0.516,0.732
poly,2,15,0.001,4,0.1,9.214,2.397,0.525,0.738
poly,2,15,0.001,4,0.5,9.461,2.412,0.519,0.738
poly,2,15,0.001,4,0.8,8.902,2.359,0.546,0.747
poly,3,1,0.1,1,0.01,16.339,2.754,0.101,0.556
poly,3,1,0.1,1,0.1,15.377,2.658,0.144,0.566
poly,3,1,0.1,1,0.5,11.625,2.503,0.368,0.629
poly,3,1,0.1,1,0.8,11.365,2.527,0.385,0.638
poly,3,1,0.1,2,0.01,17.405,2.814,0.04,0.543
poly,3,1,0.1,2,0.1,16.686,2.714,0.067,0.549
poly,3,1,0.1,2,0.5,12.292,2.54,0.326,0.614
poly,3,1,0.1,2,0.8,12.011,2.605,0.349,0.629
poly,3,1,0.1,3,0.01,17.897,2.845,0.012,0.538
poly,3,1,0.1,3,0.1,17.223,2.751,0.037,0.542
poly,3,1,0.1,3,0.5,12.702,2.589,0.301,0.605
poly,3,1,0.1,3,0.8,13.023,2.671,0.291,0.606
poly,3,1,0.1,4,0.01,18.241,2.867,-0.007,0.534
poly,3,1,0.1,4,0.1,17.457,2.766,0.023,0.539
poly,3,1,0.1,4,0.5,13.005,2.625,0.283,0.6
poly,3,1,0.1,4,0.8,14.03,2.731,0.234,0.586
poly,3,1,0.01,1,0.01,8.918,2.351,0.541,0.747
poly,3,1,0.01,1,0.1,8.7,2.333,0.552,0.753
poly,3,1,0.01,1,0.5,9.066,2.393,0.54,0.756
poly,3,1,0.01,1,0.8,8.898,2.385,0.548,0.753
poly,3,1,0.01,2,0.01,8.756,2.329,0.546,0.748
poly,3,1,0.01,2,0.1,8.77,2.325,0.547,0.751
poly,3,1,0.01,2,0.5,8.789,2.371,0.55,0.758
poly,3,1,0.01,2,0.8,8.86,2.366,0.546,0.747
poly,3,1,0.01,3,0.01,8.726,2.306,0.547,0.75
poly,3,1,0.01,3,0.1,8.654,2.319,0.552,0.754
poly,3,1,0.01,3,0.5,8.52,2.349,0.561,0.761
poly,3,1,0.01,3,0.8,9.009,2.38,0.537,0.743
poly,3,1,0.01,4,0.01,8.558,2.285,0.556,0.756
poly,3,1,0.01,4,0.1,8.555,2.308,0.558,0.755
poly,3,1,0.01,4,0.5,8.439,2.343,0.564,0.76
